epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.065917,0.058508,0.052056,0.64251,0.64767,0.62827,0.23537,0.06534,0.081786,0.039971,0.070158,0.0033158,0.0033158
1,0.056119,0.052518,0.024492,0.9614,0.93199,0.96668,0.39601,0.056996,0.062476,0.01576,0.040141,0.0066327,0.0066327
2,0.05419,0.051222,0.016078,0.81276,0.52527,0.57661,0.14455,0.075506,0.14028,0.024671,0.010108,0.009933,0.009933
3,0.053402,0.050605,0.013554,0.97452,0.95542,0.97998,0.46829,0.057054,0.069031,0.01137,0.0099258,0.0099258,0.0099258
4,0.050659,0.048747,0.011392,0.99363,0.9804,0.99107,0.50061,0.05179,0.060307,0.010794,0.0099258,0.0099258,0.0099258
5,0.049783,0.048348,0.010947,0.97215,0.95459,0.965,0.38737,0.056786,0.066422,0.0097225,0.009901,0.009901,0.009901
6,0.048908,0.047513,0.010316,0.98817,0.97681,0.9902,0.43392,0.056191,0.073586,0.0094116,0.0098763,0.0098763,0.0098763
7,0.048094,0.046756,0.010201,0.97593,0.95317,0.97685,0.37777,0.056382,0.07374,0.0096569,0.0098515,0.0098515,0.0098515
8,0.049671,0.048454,0.010434,0.9919,0.98102,0.98975,0.423,0.056147,0.068403,0.0095474,0.0098268,0.0098268,0.0098268
9,0.048103,0.046957,0.010107,0.98696,0.97126,0.9878,0.41981,0.059497,0.062996,0.0096957,0.009802,0.009802,0.009802
10,0.047732,0.046087,0.0099469,0.95472,0.94454,0.94614,0.33896,0.062717,0.068177,0.0093157,0.0097773,0.0097773,0.0097773
11,0.047496,0.046566,0.0098126,0.98852,0.95748,0.98798,0.44935,0.053256,0.05952,0.0097109,0.0097525,0.0097525,0.0097525
12,0.047569,0.046579,0.0098803,0.80034,0.72752,0.6891,0.14543,0.071541,0.073642,0.0095563,0.0097278,0.0097278,0.0097278
13,0.046781,0.045852,0.0097743,0.98632,0.97085,0.98394,0.41226,0.056895,0.065692,0.0099624,0.009703,0.009703,0.009703
14,0.046331,0.045303,0.0095225,0.96825,0.94467,0.95658,0.35324,0.058893,0.062624,0.0098025,0.0096783,0.0096783,0.0096783
15,0.046369,0.045843,0.009634,0.98624,0.97166,0.98234,0.41117,0.055548,0.060157,0.009028,0.0096535,0.0096535,0.0096535
16,0.046287,0.045291,0.0094027,0.9906,0.9853,0.99371,0.59128,0.050508,0.057335,0.00955,0.0096288,0.0096288,0.0096288
17,0.046207,0.045225,0.0096336,0.94432,0.94059,0.91863,0.27336,0.061883,0.06189,0.0089964,0.009604,0.009604,0.009604
18,0.045785,0.04501,0.0095474,0.98328,0.96554,0.97999,0.43416,0.055032,0.062299,0.0093217,0.0095793,0.0095793,0.0095793
19,0.045415,0.044906,0.0094507,0.98217,0.9552,0.97713,0.41362,0.057414,0.0645,0.011169,0.0095545,0.0095545,0.0095545
20,0.045172,0.044107,0.0093931,0.9498,0.92126,0.92338,0.24713,0.065975,0.078011,0.010308,0.0095298,0.0095298,0.0095298
21,0.046081,0.045261,0.0095986,0.9722,0.96885,0.97196,0.34415,0.057544,0.063862,0.0095811,0.009505,0.009505,0.009505
22,0.046161,0.044851,0.0093773,0.99015,0.9678,0.98385,0.47199,0.052492,0.057023,0.0093576,0.0094803,0.0094803,0.0094803
23,0.044527,0.043767,0.0092621,0.99504,0.97782,0.99054,0.54334,0.049642,0.054338,0.0092489,0.0094555,0.0094555,0.0094555
24,0.044802,0.0441,0.0092711,0.99124,0.9706,0.9849,0.4583,0.052237,0.058675,0.0089232,0.0094307,0.0094307,0.0094307
25,0.044941,0.043979,0.0094342,0.98231,0.95771,0.98089,0.407,0.056544,0.060826,0.010314,0.009406,0.009406,0.009406
26,0.045511,0.044759,0.009791,0.99231,0.98363,0.99115,0.51379,0.05121,0.060967,0.0093297,0.0093813,0.0093813,0.0093813
27,0.044805,0.044177,0.009322,0.99504,0.98711,0.99364,0.58787,0.045674,0.050087,0.0088475,0.0093565,0.0093565,0.0093565
28,0.044979,0.044099,0.0094695,0.97488,0.95844,0.97045,0.37042,0.058736,0.064565,0.0088725,0.0093317,0.0093317,0.0093317
29,0.045079,0.0438,0.0093417,0.9885,0.98166,0.99168,0.56107,0.0481,0.056392,0.0090578,0.009307,0.009307,0.009307
30,0.045049,0.043893,0.0094381,0.98713,0.98534,0.99251,0.45741,0.053468,0.061488,0.0088815,0.0092823,0.0092823,0.0092823
31,0.043925,0.043565,0.0091011,0.99194,0.98313,0.99072,0.49625,0.049765,0.053561,0.0087792,0.0092575,0.0092575,0.0092575
32,0.044499,0.043496,0.0090892,0.99502,0.9848,0.99307,0.5254,0.05744,0.059401,0.0095696,0.0092327,0.0092327,0.0092327
33,0.044375,0.043673,0.0090142,0.99224,0.96745,0.98671,0.50521,0.050774,0.05647,0.0088941,0.009208,0.009208,0.009208
34,0.044089,0.043484,0.0090359,0.98779,0.96565,0.98146,0.41442,0.055635,0.057317,0.0092719,0.0091833,0.0091833,0.0091833
35,0.043978,0.043052,0.0092583,0.9938,0.98687,0.99328,0.62739,0.045023,0.050792,0.0088105,0.0091585,0.0091585,0.0091585
36,0.043789,0.042892,0.0091577,0.99389,0.98654,0.99336,0.55901,0.047907,0.052371,0.008624,0.0091337,0.0091337,0.0091337
37,0.044264,0.043409,0.00913,0.98386,0.9754,0.98431,0.43137,0.055024,0.058037,0.008772,0.009109,0.009109,0.009109
38,0.043889,0.042897,0.0089994,0.99237,0.98407,0.9926,0.52837,0.050132,0.0575,0.008918,0.0090843,0.0090843,0.0090843
39,0.044208,0.043723,0.0093104,0.98744,0.95904,0.98466,0.40432,0.056495,0.065384,0.0096161,0.0090595,0.0090595,0.0090595
40,0.044705,0.043676,0.0094945,0.98915,0.98765,0.99319,0.49356,0.050559,0.054874,0.0084017,0.0090347,0.0090347,0.0090347
41,0.043678,0.043321,0.0091147,0.98951,0.97477,0.98729,0.48953,0.052082,0.061483,0.009304,0.00901,0.00901,0.00901
42,0.043836,0.043245,0.0090218,0.98857,0.98807,0.9914,0.44176,0.054724,0.066928,0.0089005,0.0089853,0.0089853,0.0089853
43,0.044025,0.04271,0.009123,0.99493,0.97675,0.9926,0.56318,0.04783,0.057496,0.0092868,0.0089605,0.0089605,0.0089605
44,0.044482,0.04289,0.0090868,0.99427,0.98722,0.99335,0.44532,0.053645,0.067565,0.0091855,0.0089358,0.0089358,0.0089358
45,0.043546,0.042831,0.0089722,0.98975,0.9797,0.98825,0.50962,0.049826,0.057695,0.0084198,0.008911,0.008911,0.008911
46,0.043532,0.042456,0.0089994,0.98961,0.95096,0.9753,0.41835,0.054085,0.076219,0.0091701,0.0088863,0.0088863,0.0088863
47,0.043464,0.043148,0.0092066,0.99057,0.9843,0.99213,0.57684,0.047265,0.052912,0.008969,0.0088615,0.0088615,0.0088615
48,0.043086,0.042538,0.0089111,0.98867,0.98712,0.99279,0.63245,0.044411,0.048552,0.0086142,0.0088368,0.0088368,0.0088368
49,0.042707,0.042337,0.0087991,0.99189,0.98504,0.99269,0.53101,0.048451,0.055966,0.0085157,0.008812,0.008812,0.008812
50,0.043541,0.042443,0.0089305,0.99218,0.98728,0.99364,0.54754,0.047876,0.056944,0.0089769,0.0087872,0.0087872,0.0087872
51,0.043491,0.042658,0.0089122,0.99388,0.98317,0.99207,0.48857,0.05167,0.056564,0.0083225,0.0087625,0.0087625,0.0087625
52,0.043827,0.042966,0.0092032,0.99341,0.98595,0.99258,0.59077,0.046043,0.053181,0.0081867,0.0087378,0.0087378,0.0087378
53,0.04304,0.042586,0.0089256,0.99364,0.98691,0.99364,0.60676,0.044225,0.049262,0.008046,0.008713,0.008713,0.008713
54,0.043509,0.042336,0.0089995,0.99152,0.98869,0.99348,0.60875,0.045124,0.051128,0.0083633,0.0086882,0.0086882,0.0086882
55,0.043279,0.042066,0.0089708,0.993,0.99094,0.99334,0.48759,0.051599,0.057562,0.0085393,0.0086635,0.0086635,0.0086635
56,0.043498,0.042507,0.0090163,0.99211,0.9733,0.98958,0.58045,0.047883,0.058779,0.0084674,0.0086388,0.0086388,0.0086388
57,0.043072,0.041735,0.0089146,0.99323,0.99179,0.99393,0.51786,0.049124,0.053719,0.0080896,0.008614,0.008614,0.008614
58,0.042853,0.041913,0.0091218,0.9948,0.99123,0.99364,0.58112,0.046288,0.052951,0.0086214,0.0085893,0.0085893,0.0085893
59,0.042623,0.04232,0.0087879,0.99374,0.9911,0.99375,0.54209,0.04876,0.056222,0.0087508,0.0085645,0.0085645,0.0085645
60,0.043206,0.042429,0.0090423,0.99362,0.98984,0.99405,0.65669,0.042749,0.046128,0.0085608,0.0085398,0.0085398,0.0085398
61,0.043206,0.042293,0.0090318,0.99446,0.98974,0.99331,0.58498,0.045895,0.053435,0.0084258,0.008515,0.008515,0.008515
62,0.04271,0.041736,0.0086464,0.99359,0.98988,0.99426,0.63012,0.043739,0.048915,0.0084162,0.0084903,0.0084903,0.0084903
63,0.042981,0.041818,0.0090433,0.99191,0.99332,0.99447,0.63341,0.043767,0.04929,0.0079255,0.0084655,0.0084655,0.0084655
64,0.043194,0.041895,0.0088448,0.99363,0.99216,0.99428,0.59544,0.045035,0.052096,0.0078089,0.0084408,0.0084408,0.0084408
65,0.042722,0.042536,0.0092409,0.99057,0.99235,0.99427,0.54238,0.047775,0.055603,0.0084908,0.008416,0.008416,0.008416
66,0.042994,0.042276,0.0090121,0.99438,0.99177,0.99461,0.62625,0.044034,0.048986,0.0080545,0.0083913,0.0083913,0.0083913
67,0.042549,0.041665,0.0088904,0.99431,0.99276,0.99442,0.63213,0.043414,0.047404,0.0079452,0.0083665,0.0083665,0.0083665
68,0.042194,0.041725,0.0086868,0.99398,0.99319,0.99446,0.65493,0.042556,0.046541,0.0085201,0.0083418,0.0083418,0.0083418
69,0.042663,0.041426,0.008858,0.99363,0.9907,0.99457,0.62137,0.043951,0.049217,0.0080462,0.008317,0.008317,0.008317
70,0.042887,0.041515,0.0088524,0.99457,0.99196,0.99389,0.57376,0.045527,0.050643,0.0080549,0.0082922,0.0082922,0.0082922
71,0.042505,0.041936,0.0086038,0.99386,0.99283,0.99428,0.59434,0.045828,0.052059,0.0089235,0.0082675,0.0082675,0.0082675
72,0.042571,0.041892,0.0089446,0.99331,0.99301,0.99434,0.58605,0.046232,0.052913,0.0081931,0.0082428,0.0082428,0.0082428
73,0.04255,0.041542,0.0088812,0.99536,0.99189,0.99426,0.64421,0.043184,0.048535,0.00836,0.008218,0.008218,0.008218
74,0.0424,0.041657,0.0088174,0.99232,0.99179,0.99456,0.60516,0.044797,0.048865,0.008454,0.0081932,0.0081932,0.0081932
75,0.042884,0.041835,0.008802,0.99639,0.98966,0.99402,0.47087,0.052303,0.063148,0.0088791,0.0081685,0.0081685,0.0081685
76,0.042929,0.041867,0.0088605,0.99526,0.99339,0.99462,0.63393,0.043662,0.047945,0.0084491,0.0081437,0.0081437,0.0081437
77,0.041892,0.041553,0.0087379,0.99618,0.99131,0.9945,0.6263,0.043613,0.047601,0.0082081,0.008119,0.008119,0.008119
78,0.04262,0.04224,0.0089077,0.99241,0.99261,0.9933,0.59855,0.044558,0.049387,0.0081061,0.0080942,0.0080942,0.0080942
79,0.042719,0.041981,0.009095,0.99362,0.99021,0.99453,0.62795,0.043345,0.048371,0.0084584,0.0080695,0.0080695,0.0080695
80,0.042567,0.041672,0.0086713,0.99506,0.99247,0.99463,0.64223,0.042983,0.047828,0.0082668,0.0080447,0.0080447,0.0080447
81,0.042832,0.041744,0.0087637,0.99587,0.99141,0.99437,0.63419,0.043203,0.048078,0.0083544,0.00802,0.00802,0.00802
82,0.042489,0.04174,0.0086695,0.99435,0.99306,0.99423,0.62484,0.043929,0.049742,0.0080961,0.0079953,0.0079953,0.0079953
83,0.042043,0.041518,0.0087573,0.99369,0.99403,0.99468,0.62988,0.043812,0.048476,0.0081613,0.0079705,0.0079705,0.0079705
84,0.042318,0.041366,0.0087981,0.99365,0.99264,0.99458,0.63397,0.043386,0.047412,0.0083104,0.0079457,0.0079457,0.0079457
85,0.041935,0.041383,0.0085441,0.99446,0.99454,0.99444,0.64016,0.043147,0.046682,0.0079037,0.007921,0.007921,0.007921
86,0.042283,0.041488,0.0087442,0.99266,0.99234,0.9944,0.63259,0.043483,0.047541,0.0079283,0.0078963,0.0078963,0.0078963
87,0.042143,0.041241,0.0085078,0.99374,0.99547,0.99455,0.62326,0.043668,0.048301,0.007979,0.0078715,0.0078715,0.0078715
88,0.04151,0.040882,0.0085451,0.99371,0.99264,0.99459,0.64125,0.042729,0.046477,0.0083897,0.0078467,0.0078467,0.0078467
89,0.042348,0.04183,0.0087091,0.99163,0.99317,0.99445,0.61885,0.044065,0.048251,0.0083122,0.007822,0.007822,0.007822
90,0.042008,0.041304,0.0086012,0.99126,0.99365,0.99464,0.64264,0.042746,0.04688,0.0077523,0.0077973,0.0077973,0.0077973
91,0.042119,0.041087,0.0087415,0.99444,0.99341,0.99462,0.6441,0.042899,0.04658,0.0077885,0.0077725,0.0077725,0.0077725
92,0.041857,0.041244,0.0084784,0.99429,0.99325,0.99435,0.637,0.043145,0.04674,0.0077963,0.0077478,0.0077478,0.0077478
93,0.041945,0.041106,0.0086875,0.99342,0.99359,0.99458,0.64071,0.043214,0.047038,0.0079666,0.007723,0.007723,0.007723
94,0.041763,0.040888,0.0085671,0.99412,0.9946,0.99428,0.64535,0.043101,0.047108,0.0078946,0.0076983,0.0076983,0.0076983
95,0.041952,0.041053,0.0085722,0.99323,0.99558,0.99454,0.63601,0.043338,0.048001,0.0078627,0.0076735,0.0076735,0.0076735
96,0.041858,0.041289,0.0084999,0.99352,0.99346,0.99443,0.63377,0.04355,0.048112,0.0080353,0.0076488,0.0076488,0.0076488
97,0.041998,0.041055,0.0086066,0.99343,0.99435,0.99461,0.64294,0.042958,0.04717,0.0078191,0.007624,0.007624,0.007624
98,0.042067,0.041592,0.008862,0.99363,0.99395,0.99459,0.64558,0.043219,0.047717,0.0079116,0.0075993,0.0075993,0.0075993
99,0.041968,0.0411,0.0086261,0.99426,0.99283,0.99435,0.65726,0.042382,0.046244,0.0078546,0.0075745,0.0075745,0.0075745
100,0.041506,0.040939,0.0085781,0.9944,0.99361,0.99445,0.64024,0.043092,0.047194,0.0081607,0.0075498,0.0075498,0.0075498
101,0.042385,0.041152,0.0086032,0.99433,0.99491,0.99446,0.65285,0.042477,0.046368,0.0077677,0.007525,0.007525,0.007525
102,0.041657,0.040978,0.0085317,0.99489,0.99453,0.99449,0.6387,0.042832,0.046415,0.0076639,0.0075003,0.0075003,0.0075003
103,0.042102,0.041006,0.0085081,0.99482,0.99434,0.99461,0.64119,0.042819,0.046568,0.0076939,0.0074755,0.0074755,0.0074755
104,0.04185,0.040896,0.0084969,0.99449,0.99511,0.9945,0.63453,0.043248,0.04753,0.0079215,0.0074507,0.0074507,0.0074507
105,0.041762,0.040985,0.0086015,0.99431,0.9949,0.99442,0.64219,0.042746,0.04667,0.0078332,0.007426,0.007426,0.007426
106,0.041928,0.04089,0.0087618,0.99406,0.99385,0.99443,0.65262,0.04259,0.046697,0.0077598,0.0074013,0.0074013,0.0074013
107,0.042178,0.041219,0.008514,0.99373,0.99476,0.99452,0.64221,0.043204,0.047034,0.0078575,0.0073765,0.0073765,0.0073765
108,0.041915,0.04121,0.0086735,0.99329,0.99404,0.99454,0.65045,0.042642,0.046317,0.0077232,0.0073517,0.0073517,0.0073517
109,0.041802,0.04124,0.0085204,0.99337,0.99523,0.99465,0.64631,0.042625,0.04614,0.0076048,0.007327,0.007327,0.007327
110,0.042202,0.041162,0.0088318,0.9945,0.99494,0.99459,0.64275,0.042778,0.046369,0.0078173,0.0073023,0.0073023,0.0073023
111,0.04161,0.040889,0.0087427,0.99401,0.99475,0.99471,0.63805,0.042952,0.04684,0.0078016,0.0072775,0.0072775,0.0072775
112,0.041543,0.040917,0.0083917,0.99438,0.99368,0.99465,0.63785,0.043009,0.046481,0.0077318,0.0072527,0.0072527,0.0072527
113,0.041251,0.040553,0.008466,0.99419,0.99394,0.9947,0.64956,0.042576,0.04607,0.0077158,0.007228,0.007228,0.007228
114,0.041267,0.040568,0.0082108,0.99335,0.99345,0.99469,0.64426,0.042805,0.046567,0.0078557,0.0072033,0.0072033,0.0072033
115,0.041484,0.040872,0.0083693,0.99313,0.99395,0.99466,0.6413,0.042781,0.046692,0.0080132,0.0071785,0.0071785,0.0071785
116,0.041403,0.040547,0.0085877,0.99403,0.99376,0.99465,0.64604,0.042632,0.046658,0.008038,0.0071538,0.0071538,0.0071538
117,0.041218,0.040293,0.0084698,0.99363,0.99511,0.99461,0.64822,0.042556,0.046195,0.0077143,0.007129,0.007129,0.007129
118,0.041513,0.040812,0.0082772,0.99354,0.99547,0.99461,0.65152,0.042469,0.046201,0.0076962,0.0071042,0.0071042,0.0071042
119,0.041533,0.040839,0.0082884,0.99362,0.99556,0.99458,0.64617,0.04266,0.046379,0.0077732,0.0070795,0.0070795,0.0070795
120,0.041615,0.040984,0.0085249,0.99318,0.99509,0.9946,0.63892,0.042875,0.046831,0.0077799,0.0070547,0.0070547,0.0070547
121,0.041745,0.040567,0.0085395,0.99444,0.99366,0.99463,0.6384,0.042888,0.046936,0.0076904,0.00703,0.00703,0.00703
122,0.041555,0.041222,0.0086113,0.99562,0.99437,0.99469,0.63574,0.043048,0.047165,0.0077106,0.0070053,0.0070053,0.0070053
123,0.041904,0.04104,0.0084698,0.99546,0.99522,0.99471,0.63257,0.043249,0.047549,0.0079924,0.0069805,0.0069805,0.0069805
124,0.041336,0.04012,0.0084752,0.99385,0.99536,0.99472,0.63365,0.043271,0.047686,0.0080268,0.0069558,0.0069558,0.0069558
125,0.042087,0.04054,0.0085869,0.99301,0.99571,0.99469,0.63176,0.043469,0.048046,0.007977,0.006931,0.006931,0.006931
126,0.04138,0.040606,0.0082645,0.99375,0.99556,0.9947,0.63027,0.043554,0.048144,0.0079374,0.0069063,0.0069063,0.0069063
127,0.04204,0.041356,0.0089227,0.9934,0.99547,0.99471,0.62979,0.043556,0.047995,0.0079638,0.0068815,0.0068815,0.0068815
128,0.041104,0.040603,0.0084656,0.99404,0.99526,0.99473,0.63173,0.043419,0.047964,0.0077858,0.0068568,0.0068568,0.0068568
129,0.041146,0.040397,0.0082812,0.9945,0.99457,0.99471,0.63364,0.043304,0.047603,0.0078929,0.006832,0.006832,0.006832
130,0.040792,0.040237,0.0082814,0.99464,0.99456,0.99454,0.63817,0.043026,0.047169,0.0078826,0.0068073,0.0068073,0.0068073
131,0.041592,0.040511,0.0082607,0.99435,0.99491,0.99454,0.64248,0.042812,0.046882,0.0077716,0.0067825,0.0067825,0.0067825
132,0.041678,0.040783,0.0083436,0.99443,0.99513,0.99464,0.64405,0.042716,0.04668,0.0077424,0.0067577,0.0067577,0.0067577
133,0.041073,0.040147,0.0082318,0.99438,0.99435,0.99479,0.64149,0.042956,0.047053,0.0077614,0.006733,0.006733,0.006733
134,0.041397,0.040586,0.0083905,0.99384,0.99508,0.99476,0.64243,0.042931,0.04703,0.0077605,0.0067082,0.0067082,0.0067082
135,0.041424,0.040353,0.0085156,0.99378,0.99505,0.99476,0.64155,0.042988,0.04707,0.0078027,0.0066835,0.0066835,0.0066835
136,0.041291,0.039959,0.0083772,0.99423,0.99488,0.99472,0.64412,0.042851,0.046859,0.0078238,0.0066587,0.0066587,0.0066587
137,0.041187,0.040322,0.0083383,0.9945,0.99433,0.99472,0.6457,0.04278,0.04684,0.007865,0.006634,0.006634,0.006634
138,0.041214,0.04011,0.0081822,0.99462,0.99433,0.9947,0.64685,0.042591,0.04656,0.0078112,0.0066092,0.0066092,0.0066092
139,0.041467,0.040606,0.0083182,0.9945,0.99491,0.99467,0.64793,0.042675,0.046692,0.0078045,0.0065845,0.0065845,0.0065845
140,0.040711,0.040247,0.0081834,0.99415,0.9949,0.99466,0.65003,0.042566,0.046598,0.0077251,0.0065598,0.0065598,0.0065598
141,0.040924,0.040018,0.0083149,0.99441,0.99525,0.99466,0.65335,0.042357,0.046223,0.0076859,0.006535,0.006535,0.006535
142,0.040786,0.040093,0.0081679,0.99442,0.99532,0.99466,0.65332,0.042361,0.046163,0.0076834,0.0065102,0.0065102,0.0065102
143,0.041081,0.040173,0.0081993,0.9947,0.99525,0.99464,0.65417,0.042308,0.04612,0.0076509,0.0064855,0.0064855,0.0064855
144,0.040901,0.039981,0.0081375,0.9946,0.99519,0.99467,0.65601,0.042297,0.046142,0.0076826,0.0064608,0.0064608,0.0064608
145,0.04056,0.039836,0.0082373,0.99398,0.99529,0.99465,0.65655,0.04224,0.045976,0.0076959,0.006436,0.006436,0.006436
146,0.041282,0.040644,0.0083136,0.99419,0.99499,0.99459,0.65651,0.04229,0.046018,0.0077095,0.0064112,0.0064112,0.0064112
147,0.040701,0.04,0.008089,0.99409,0.99505,0.99463,0.65818,0.042269,0.045913,0.0076855,0.0063865,0.0063865,0.0063865
148,0.041087,0.039821,0.0083253,0.99409,0.99576,0.99459,0.6579,0.042301,0.045937,0.007692,0.0063618,0.0063618,0.0063618
149,0.040649,0.040085,0.0080833,0.99369,0.99549,0.99457,0.65744,0.042335,0.045947,0.0076867,0.006337,0.006337,0.006337
150,0.040958,0.040363,0.0083152,0.99327,0.99573,0.99453,0.65743,0.042271,0.045948,0.0077041,0.0063122,0.0063122,0.0063122
151,0.040747,0.039835,0.0081686,0.9937,0.99617,0.99455,0.658,0.042204,0.045839,0.007673,0.0062875,0.0062875,0.0062875
152,0.040991,0.039993,0.0080804,0.99369,0.99614,0.99454,0.65876,0.042188,0.045808,0.0076732,0.0062628,0.0062628,0.0062628
153,0.040591,0.040061,0.0081136,0.99359,0.99588,0.99452,0.65749,0.042269,0.045911,0.0076674,0.006238,0.006238,0.006238
154,0.040955,0.039971,0.0080974,0.99373,0.99583,0.99453,0.65648,0.042337,0.046048,0.0076789,0.0062132,0.0062132,0.0062132
155,0.040843,0.04032,0.0083133,0.99379,0.99541,0.9945,0.65566,0.042352,0.046104,0.0076825,0.0061885,0.0061885,0.0061885
156,0.040899,0.039924,0.0081838,0.9937,0.99549,0.99447,0.65535,0.042333,0.046068,0.0077013,0.0061637,0.0061637,0.0061637
157,0.040707,0.03989,0.0081228,0.99363,0.99536,0.99447,0.65602,0.04229,0.046014,0.007705,0.006139,0.006139,0.006139
158,0.040898,0.039661,0.0080575,0.99372,0.99519,0.99446,0.65536,0.04231,0.04606,0.0077122,0.0061142,0.0061142,0.0061142
159,0.040561,0.03984,0.008168,0.99405,0.99522,0.99446,0.65543,0.042336,0.046083,0.0076965,0.0060895,0.0060895,0.0060895
160,0.041052,0.04009,0.0081217,0.99411,0.99572,0.99446,0.65456,0.042364,0.0461,0.0076684,0.0060647,0.0060647,0.0060647
161,0.040671,0.039633,0.0080617,0.99411,0.99551,0.99444,0.65368,0.042375,0.046147,0.0076592,0.00604,0.00604,0.00604
162,0.040495,0.039684,0.0080361,0.99418,0.99588,0.99444,0.65324,0.04235,0.046145,0.0076475,0.0060152,0.0060152,0.0060152
163,0.040631,0.039558,0.0082483,0.99417,0.99554,0.99444,0.65373,0.042334,0.046108,0.0076349,0.0059905,0.0059905,0.0059905
164,0.041561,0.040686,0.0083193,0.99413,0.99607,0.99442,0.65466,0.042334,0.04613,0.0076114,0.0059658,0.0059658,0.0059658
165,0.040717,0.039917,0.0081615,0.99401,0.99634,0.99442,0.6529,0.04236,0.046178,0.0075967,0.005941,0.005941,0.005941
166,0.040662,0.0398,0.0081156,0.99401,0.996,0.99442,0.65262,0.042364,0.046206,0.0075946,0.0059163,0.0059163,0.0059163
167,0.040497,0.039425,0.0080321,0.99451,0.99652,0.99441,0.65338,0.042335,0.046183,0.0075933,0.0058915,0.0058915,0.0058915
168,0.04023,0.03947,0.008047,0.99445,0.99653,0.99442,0.65356,0.042324,0.046186,0.007577,0.0058668,0.0058668,0.0058668
169,0.040694,0.040064,0.0080148,0.99403,0.99624,0.9944,0.65375,0.042312,0.04618,0.0075748,0.005842,0.005842,0.005842
170,0.040464,0.039622,0.0080524,0.99401,0.99614,0.9944,0.65396,0.042302,0.046155,0.0075525,0.0058173,0.0058173,0.0058173
171,0.040569,0.039756,0.0079907,0.99385,0.99631,0.9944,0.65348,0.042298,0.046165,0.0075453,0.0057925,0.0057925,0.0057925
172,0.040554,0.03981,0.0080001,0.99392,0.99618,0.99441,0.6541,0.042301,0.046184,0.0075485,0.0057678,0.0057678,0.0057678
173,0.040289,0.039453,0.008211,0.99401,0.99618,0.99441,0.65461,0.042301,0.046189,0.0075412,0.005743,0.005743,0.005743
174,0.040385,0.039525,0.0080687,0.994,0.99618,0.99442,0.65634,0.04227,0.046097,0.0075256,0.0057183,0.0057183,0.0057183
175,0.040443,0.039771,0.0079005,0.99388,0.9962,0.9944,0.65655,0.042261,0.046071,0.0075205,0.0056935,0.0056935,0.0056935
176,0.040443,0.039684,0.0081173,0.99389,0.9962,0.99441,0.65644,0.042202,0.045965,0.0075069,0.0056688,0.0056688,0.0056688
177,0.040463,0.03977,0.0079736,0.99398,0.99612,0.99442,0.65683,0.042191,0.045956,0.007503,0.005644,0.005644,0.005644
178,0.040745,0.039954,0.008318,0.9939,0.99624,0.99442,0.65664,0.042217,0.045982,0.0074953,0.0056193,0.0056193,0.0056193
179,0.040311,0.039889,0.0079139,0.99392,0.99623,0.99442,0.65665,0.042226,0.045984,0.0074977,0.0055945,0.0055945,0.0055945
180,0.040575,0.039679,0.0079587,0.99397,0.99625,0.99441,0.6566,0.042219,0.045988,0.0074981,0.0055698,0.0055698,0.0055698
181,0.040315,0.039016,0.0080196,0.99395,0.99625,0.99443,0.65662,0.042209,0.046002,0.0074987,0.005545,0.005545,0.005545
182,0.041014,0.039519,0.0080796,0.99382,0.99653,0.99443,0.65639,0.042216,0.046022,0.0074994,0.0055202,0.0055202,0.0055202
183,0.040401,0.039569,0.0080062,0.99384,0.99651,0.99442,0.65577,0.042251,0.046074,0.0074997,0.0054955,0.0054955,0.0054955
184,0.040648,0.039823,0.0080387,0.99389,0.99648,0.99441,0.65549,0.042257,0.046088,0.0075026,0.0054707,0.0054707,0.0054707
185,0.040643,0.03996,0.0081918,0.9939,0.9965,0.99442,0.65572,0.042242,0.046043,0.007495,0.005446,0.005446,0.005446
186,0.040361,0.039628,0.0080155,0.99395,0.99646,0.99442,0.65669,0.042213,0.046003,0.007492,0.0054212,0.0054212,0.0054212
187,0.039946,0.039304,0.0078044,0.99403,0.99635,0.99441,0.65755,0.042185,0.045965,0.0074886,0.0053965,0.0053965,0.0053965
188,0.040603,0.039562,0.0078869,0.99403,0.99632,0.99441,0.65758,0.042169,0.045938,0.0074858,0.0053717,0.0053717,0.0053717
189,0.040418,0.039698,0.0079018,0.99411,0.996,0.99441,0.65792,0.04215,0.045926,0.0074928,0.005347,0.005347,0.005347
